,open,high,low,close,volume
2018-10-11,38.57,40.71,38.04,39.29,21645532.0
2018-10-12,39.45,41.97,39.45,41.84,18547195.0
2018-10-15,41.84,42.26,40.15,40.31,14136669.0
2018-10-16,40.37,41.32,40.08,40.54,9459242.0
2018-10-17,41.21,41.35,39.13,40.24,10022833.0
2018-10-18,39.57,40.26,38.42,39.75,12232128.0
2018-10-19,38.83,41.58,38.81,41.46,12489243.0
2018-10-22,42.18,44.89,41.94,44.35,16856342.0
2018-10-23,44.39,44.42,40.07,40.84,19457348.0
2018-10-24,39.93,40.52,38.23,39.26,20034479.0
2018-10-25,38.14,38.14,37.07,37.82,19044900.0
2018-10-26,38.2,38.3,36.04,36.77,19325910.0
2018-10-29,35.79,35.79,33.6,34.13,23953085.0
2018-10-30,34.51,35.71,34.13,35.13,13967887.0
2018-10-31,35.45,36.67,35.14,36.49,13314866.0
2018-11-01,36.76,38.12,36.63,36.7,17204602.0
2018-11-02,37.87,39.36,37.39,39.3,20348145.0
2018-11-05,38.35,38.67,37.61,37.95,11642186.0
2018-11-06,37.85,37.87,36.45,37.24,10483862.0
2018-11-07,37.41,38.13,36.98,37.31,7218261.0
2018-11-08,37.8,38.13,37.18,37.44,7242461.0
2018-11-09,37.29,37.9,36.51,37.36,9122563.0
2018-11-12,37.1,37.67,36.48,37.18,12019673.0
2018-11-13,36.72,39.29,36.52,38.87,17255171.0
2018-11-14,38.61,38.73,37.88,38.3,8650162.0
2018-11-15,38.47,38.96,38.34,38.73,7850613.0
2018-11-16,38.92,39.15,38.36,38.62,5997356.0
2018-11-19,38.55,40.05,38.55,39.73,9136305.0
2018-11-20,39.21,39.52,38.63,38.65,6129687.0
2018-11-21,38.35,39.93,38.12,39.49,8493026.0
2018-11-22,39.48,39.79,39.09,39.59,5893254.0
2018-11-23,39.64,39.64,38.45,38.57,5986397.0
2018-11-26,38.83,38.87,38.25,38.36,4174052.0
2018-11-27,38.49,38.63,37.88,38.13,5221002.0
2018-11-28,38.27,39.05,38.02,38.56,6814478.0
2018-11-29,38.73,39.5,38.25,38.3,7101175.0
2018-11-30,38.49,39.4,38.06,39.3,9703316.0
2018-12-03,40.55,41.68,39.98,41.13,15204630.0
2018-12-04,41.15,41.47,40.72,41.17,8089884.0
2018-12-05,40.74,42.76,40.6,42.01,13040682.0
2018-12-06,41.22,41.7,40.51,40.53,9794348.0
2018-12-07,40.91,41.21,40.59,40.85,7246321.0
2018-12-10,40.17,41.15,40.07,40.5,5108990.0
2018-12-11,40.58,41.07,40.22,40.7,5257881.0
2018-12-12,40.93,41.65,40.7,41.45,7652996.0
2018-12-13,41.6,42.47,41.38,42.21,10427526.0
2018-12-14,41.89,42.3,41.37,41.41,6664780.0
